Page,District_Name,Issuer,Investment_Amount
19,Alabama 3rd,ETOWAH CNTY ALA BRD ED CAP OUTLAY WTS,9405000
19,Alabama 3rd,ROANOKE ALA,8820000
19,Alabama 3rd,GULF SHORES ALA PUB EDL BLDG AUTH LEASE REV,8655000
19,Alabama 3rd,JACKSONVILLE ALA,8165000
19,Alabama 3rd,ODENVILLE ALA UTILS BRD WTR & SWR REV,7460000
19,Alabama 3rd,CHILDERSBURG ALA,7330000
19,Alabama 3rd,TALLAPOOSA CNTY ALA,7085000
19,Alabama 3rd,MARGARET ALA,7055000
19,Alabama 3rd,CHAMBERS CNTY ALA,6980000
19,Alabama 3rd,PIEDMONT ALA,6710000
19,Alabama 3rd,TALLASSEE ALA,6610000
19,Alabama 3rd,ROANOKE ALA UTILS BRD WTR GAS & SWR REV,6450000
19,Alabama 3rd,SPRINGVILLE ALA,5630000
19,Alabama 3rd,TALLAPOOSA CNTY ALA BRD ED SPL TAX WTS,5400000
19,Alabama 3rd,TALLASSEE ALA WTR GAS & SWR REV,4980000
19,Alabama 3rd,CHAMBERS CNTY ALA ST GASOLINE TAX ANTIC WTS,4945000
19,Alabama 3rd,LANETT ALA,4830000
19,Alabama 3rd,ALABAMA WTR POLLUTION CTL AUTH,4690000
19,Alabama 3rd,CENTRE ALA,4625000
20,Alabama 3rd,CHAMBERS CNTY ALA BRD ED CAP OUTLAY SCH WTS,4610000
20,Alabama 3rd,CLEBURNE CNTY ALA BRD ED SPL TAX SCH WTS,4250000
20,Alabama 3rd,CALHOUN CNTY ALA,3635000
20,Alabama 3rd,TALLADEGA ALA,3290000
20,Alabama 3rd,HEFLIN ALA,2790000
20,Alabama 3rd,GLENCOE ALA,2700000
20,Alabama 3rd,SPRINGVILLE ALA WTR & SWR REV,2575000
20,Alabama 3rd,RAGLAND ALA,1980000
20,Alabama 3rd,PIEDMONT ALA WTR SWR & GAS REV,1805000
20,Alabama 3rd,CLAY CNTY ALA,1385000
20,Alabama 3rd,ODENVILLE ALA,1345000
20,Alabama 3rd,PIEDMONT ALA ELEC SYS REV,1225000
20,Alabama 3rd,LINEVILLE ALA,1130000
20,Alabama 3rd,LINCOLN ALA WTR & SWR REV,730000
20,Alabama 3rd,RIVERSIDE ALA,165000
20,Alabama 3rd,ASHVILLE ALA WTR & SWR REV,160000
20,Alabama 3rd,CHEROKEE CNTY ALA,145000
20,Alabama 3rd,OHATCHEE ALA,70000
23,Alabama 4th,ALABAMA ST PUB SCH & COLLEGE AUTH,1533365000
23,Alabama 4th,ALABAMA FED AID HWY FIN AUTH SPL OBLIG REV,638215000
23,Alabama 4th,ALABAMA ST CORRECTIONS INSTN FIN AUTH REV,450610000
23,Alabama 4th,BLACK BELT ENERGY GAS DIST ALA GAS SUPPLY REV,411835000
23,Alabama 4th,ALABAMA ST,388180000
23,Alabama 4th,BLACK BELT ENERGY GAS DIST ALA GAS PROJ REV,374880000
23,Alabama 4th,ALABAMA HSG FIN AUTH SINGLE FAMILY MTG REV,260000000
23,Alabama 4th,COLUMBIA ALA INDL DEV BRD POLLUTN CTL REV,254000000
23,Alabama 4th,TUSCALOOSA ALA,223525000
23,Alabama 4th,WEST JEFFERSON ALA INDL DEV BRD POLLUTN CTL REV,174580000
23,Alabama 4th,TUSCALOOSA ALA CITY BRD ED SCH TAX WTS,131730000
23,Alabama 4th,ALABAMA CMNTY COLLEGE SYS BRD TRUSTEES REV,127685000
23,Alabama 4th,WEST JEFFERSON ALA INDL DEV BRD SOLID WASTE DIS...,98000000
23,Alabama 4th,WALKER CNTY ALA ECONOMIC & INDL DEV AUTH SOLID ...,88000000
23,Alabama 4th,ALABAMA SPL CARE FACS FING AUTH MOBILE REV,87795000
23,Alabama 4th,ALABAMA ST HWY FIN CORP SPL OBLIG REV,85230000
23,Alabama 4th,ALBERTVILLE ALA,83850000
23,Alabama 4th,ALABAMA CMNTY COLLEGE SYS BRD TRUSTEES SPL FEE REV,81650000
23,Alabama 4th,ALABAMA ECONOMIC SETTLEMENT AUTH BP SETTLEMENT REV,80925000
23,Alabama 4th,GUNTERSVILLE ALA,80610000
23,Alabama 4th,CULLMAN ALA UTILS BRD WTR REV,79900000
